 H V C R G B
367 7.5PB 0.6 6 15.433456901575527 12.796912039167964 58.548026864788916
368 7.5PB 0.6 8 15.20582712849541 8.116610508704339 68.17689532460668
369 7.5PB 0.6 10 15.509723271182638 2.3312451582972966 77.47145892086729
380 10PB 0.6 2 23.027323552004958 16.39382567513657 37.098361254288925
381 10PB 0.6 4 25.456874114997383 12.95292014142516 46.32764475461861
382 10PB 0.6 6 28.667213984278526 7.728394778651612 54.89856449110676
383 10PB 0.6 8 32.449710118831234 0.708502049081627 63.92495684371673
395 2.5P 0.6 2 26.142791358607926 15.22375830806774 36.350579240199494
396 2.5P 0.6 4 30.169784160018622 10.684568769311332 44.84606009559786
397 2.5P 0.6 6 34.47191471279206 4.556703872665109 52.443602522051734
409 5P 0.6 2 28.787966881639832 14.10462991203538 35.443331833776
410 5P 0.6 4 33.793155505538124 8.75136623480241 42.734462767934716
411 5P 0.6 6 38.43323685801741 2.390165632800005 49.59268432213799
421 7.5P 0.6 2 30.733271092414878 13.268483500527923 34.275467376890944
422 7.5P 0.6 4 36.12515551179577 7.349393562119993 41.29505375481388
423 7.5P 0.6 6 40.975358954495015 0.8328913530000029 47.591027144656096
431 10P 0.6 2 31.992633311696057 12.685672707495108 33.42363604961005
432 10P 0.6 4 37.54241182550144 6.546793385689649 40.04204290013652
440 2.5RP 0.6 2 33.19332669406915 12.128914279983332 32.390079607416574
441 2.5RP 0.6 4 39.31514235228548 5.463992850868154 38.456467493715934
448 5RP 0.6 2 34.369292901058955 11.694492486273909 30.640647029767695
449 5RP 0.6 4 41.11667446042194 4.578300988733315 35.745906908193376
456 7.5RP 0.6 2 35.580041620414775 11.248850223173838 28.52614727512522
457 7.5RP 0.6 4 42.90350051145897 3.624896696616001 32.82684968144102
463 10RP 0.6 2 36.41382977651711 11.03958758319993 26.364676699792494
464 10RP 0.6 4 44.43987672698451 2.770899487089104 29.97681030350679
469 2.5R 0.6 2 37.16206212409133 10.905418155246279 23.901017527342894
470 2.5R 0.6 4 45.82281158404641 2.170360086335669 26.13543632855679
475 5R 0.6 2 37.82464520034089 10.8116932102235 21.296037243122544
476 5R 0.6 4 46.97935176568415 1.7655948629707379 21.723302992363656
480 7.5R 0.6 2 38.20615960625255 10.934094482168836 18.463044419125787
